date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:06:53	61769/61769	---M--	200	added ('OK')	text/html	etag:W/%22eb74-194621e4210%22	http://127.0.0.1:5500/index.html	C:/My%20Web%20Sites/http___127.0.0.1_5500_index.html/127.0.0.1_5500/index.html	(from )
01:06:54	149/149	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Jan%202025%2000:06:54%20GMT	http://127.0.0.1:5500/robots.txt		(from )
01:06:55	251712/251712	---M-Z	200	added ('OK')	text/css	etag:%221366b974963e2548510e1cd85ee5730b%22	https://cdn.prod.website-files.com/6733007aeb4a9195aace85a4/css/occupy-mars-098e78.webflow.f111ff2a3.css	C:/My%20Web%20Sites/http___127.0.0.1_5500_index.html/cdn.prod.website-files.com/6733007aeb4a9195aace85a4/css/occupy-mars-098e78.webflow.f111ff2a3.css	(from http://127.0.0.1:5500/index.html)
01:06:55	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/http___127.0.0.1_5500_index.html/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from http://127.0.0.1:5500/index.html)
01:06:56	2257/2257	---M--	200	added ('OK')	image/png	etag:%228b16005489e994107213b5cb018c4d9d%22	https://cdn.prod.website-files.com/6733007aeb4a9195aace85a4/67332f02507e739c146d0baf_Occupy32.png	C:/My%20Web%20Sites/http___127.0.0.1_5500_index.html/cdn.prod.website-files.com/6733007aeb4a9195aace85a4/67332f02507e739c146d0baf_Occupy32.png	(from http://127.0.0.1:5500/index.html)
01:06:57	61769/61769	---M--	200	added ('OK')	text/html	etag:W/%22eb74-194621e4210%22	http://127.0.0.1:5500/	C:/My%20Web%20Sites/http___127.0.0.1_5500_index.html/127.0.0.1_5500/index-2.html	(from http://127.0.0.1:5500/index.html)
01:06:57	146/146	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Jan%202025%2000:06:57%20GMT	http://127.0.0.1:5500/roadmap	C:/My%20Web%20Sites/http___127.0.0.1_5500_index.html/127.0.0.1_5500/roadmap.6.delayed	(from http://127.0.0.1:5500/index.html)
01:06:58	146/146	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Jan%202025%2000:06:57%20GMT	http://127.0.0.1:5500/contact	C:/My%20Web%20Sites/http___127.0.0.1_5500_index.html/127.0.0.1_5500/contact	(from http://127.0.0.1:5500/index.html)
01:06:59	147/147	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Jan%202025%2000:06:58%20GMT	http://127.0.0.1:5500/features	C:/My%20Web%20Sites/http___127.0.0.1_5500_index.html/127.0.0.1_5500/features	(from http://127.0.0.1:5500/index.html)
01:06:59	149/149	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Jan%202025%2000:06:59%20GMT	http://127.0.0.1:5500/whitepaper	C:/My%20Web%20Sites/http___127.0.0.1_5500_index.html/127.0.0.1_5500/whitepaper	(from http://127.0.0.1:5500/index.html)
